data_3	Var2	Var3	Var4	zhd_saas	zhd_hopj	zhd_black	zhd_saas_ms	zhd_hopj_ms	zhd_black_ms	zhd_saas_e	zhd_hopj_e	zhd_black_e	zwd
0	2522.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2520.49395710412	2520.49258791434	2520.53157925588	48.0275585382701
1	2521.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2519.49395710412	2519.49258791434	2519.53157925588	48.0275585382701
2	2524.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2522.09395710412	2522.09258791434	2522.13157925588	48.0275585382701
3	2529.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2526.99395710412	2526.99258791434	2527.03157925588	48.0275585382701
4	2543.9	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2541.59395710412	2541.59258791434	2541.63157925588	48.0275585382701
5	2540.1	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2537.79395710412	2537.79258791434	2537.83157925588	48.0275585382701
6	2532.6	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2530.29395710412	2530.29258791434	2530.33157925588	48.0275585382701
7	2530.1	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2527.79395710412	2527.79258791434	2527.83157925588	48.0275585382701
8	2525.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2523.39395710412	2523.39258791434	2523.43157925588	48.0275585382701
9	2522.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2519.99395710412	2519.99258791434	2520.03157925588	48.0275585382701
10	2516.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2514.49395710412	2514.49258791434	2514.53157925588	48.0275585382701
11	2523.1	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2520.79395710412	2520.79258791434	2520.83157925588	48.0275585382701
12	2523.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2521.39395710412	2521.39258791434	2521.43157925588	48.0275585382701
13	2529.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2527.19395710412	2527.19258791434	2527.23157925588	48.0275585382701
14	2536.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2534.49395710412	2534.49258791434	2534.53157925588	48.0275585382701
15	2536.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2534.19395710412	2534.19258791434	2534.23157925588	48.0275585382701
16	2534.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2532.19395710412	2532.19258791434	2532.23157925588	48.0275585382701
17	2540.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2538.19395710412	2538.19258791434	2538.23157925588	48.0275585382701
18	2545	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2542.69395710412	2542.69258791434	2542.73157925588	48.0275585382701
19	2540.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2538.39395710412	2538.39258791434	2538.43157925588	48.0275585382701
20	2539.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2536.89395710412	2536.89258791434	2536.93157925588	48.0275585382701
21	2534.9	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2532.59395710412	2532.59258791434	2532.63157925588	48.0275585382701
22	2530	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2527.69395710412	2527.69258791434	2527.73157925588	48.0275585382701
23	2529.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2527.09395710412	2527.09258791434	2527.13157925588	48.0275585382701
24	2516.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2514.19395710412	2514.19258791434	2514.23157925588	48.0275585382701
25	2510	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2507.69395710412	2507.69258791434	2507.73157925588	48.0275585382701
26	2496.9	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2494.59395710412	2494.59258791434	2494.63157925588	48.0275585382701
27	2504.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2502.49395710412	2502.49258791434	2502.53157925588	48.0275585382701
28	2517.9	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2515.59395710412	2515.59258791434	2515.63157925588	48.0275585382701
29	2520.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2518.09395710412	2518.09258791434	2518.13157925588	48.0275585382701
30	2527.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2524.89395710412	2524.89258791434	2524.93157925588	48.0275585382701
31	2527.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2525.09395710412	2525.09258791434	2525.13157925588	48.0275585382701
32	2520.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2518.49395710412	2518.49258791434	2518.53157925588	48.0275585382701
33	2515	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2512.69395710412	2512.69258791434	2512.73157925588	48.0275585382701
34	2515.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2513.49395710412	2513.49258791434	2513.53157925588	48.0275585382701
35	2523.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2520.89395710412	2520.89258791434	2520.93157925588	48.0275585382701
36	2520.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2517.89395710412	2517.89258791434	2517.93157925588	48.0275585382701
37	2525.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2523.39395710412	2523.39258791434	2523.43157925588	48.0275585382701
38	2520.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2517.89395710412	2517.89258791434	2517.93157925588	48.0275585382701
39	2525.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2523.49395710412	2523.49258791434	2523.53157925588	48.0275585382701
40	2531.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2528.89395710412	2528.89258791434	2528.93157925588	48.0275585382701
41	2541.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2539.09395710412	2539.09258791434	2539.13157925588	48.0275585382701
42	2540	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2537.69395710412	2537.69258791434	2537.73157925588	48.0275585382701
43	2544.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2542.39395710412	2542.39258791434	2542.43157925588	48.0275585382701
44	2544	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2541.69395710412	2541.69258791434	2541.73157925588	48.0275585382701
45	2538.4	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2536.09395710412	2536.09258791434	2536.13157925588	48.0275585382701
46	2532.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2530.19395710412	2530.19258791434	2530.23157925588	48.0275585382701
47	2519.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2517.49395710412	2517.49258791434	2517.53157925588	48.0275585382701
48	2512.1	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2509.79395710412	2509.79258791434	2509.83157925588	48.0275585382701
49	2505.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2503.49395710412	2503.49258791434	2503.53157925588	48.0275585382701
50	2499.5	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2497.19395710412	2497.19258791434	2497.23157925588	48.0275585382701
51	2503.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2500.99395710412	2500.99258791434	2501.03157925588	48.0275585382701
52	2513.2	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2510.89395710412	2510.89258791434	2510.93157925588	48.0275585382701
53	2526.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2523.99395710412	2523.99258791434	2524.03157925588	48.0275585382701
54	2531.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2528.99395710412	2528.99258791434	2529.03157925588	48.0275585382701
55	2523.6	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2521.29395710412	2521.29258791434	2521.33157925588	48.0275585382701
56	2514.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2512.39395710412	2512.39258791434	2512.43157925588	48.0275585382701
57	2513.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2511.39395710412	2511.39258791434	2511.43157925588	48.0275585382701
58	2518.6	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2516.29395710412	2516.29258791434	2516.33157925588	48.0275585382701
59	2523.1	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2520.79395710412	2520.79258791434	2520.83157925588	48.0275585382701
60	2527.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2525.49395710412	2525.49258791434	2525.53157925588	48.0275585382701
61	2537.8	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2535.49395710412	2535.49258791434	2535.53157925588	48.0275585382701
62	2525.7	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2523.39395710412	2523.39258791434	2523.43157925588	48.0275585382701
63	2514.3	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2511.99395710412	2511.99258791434	2512.03157925588	48.0275585382701
64	2498.6	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2496.29395710412	2496.29258791434	2496.33157925588	48.0275585382701
65	2493.9	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2491.59395710412	2491.59258791434	2491.63157925588	48.0275585382701
66	2499	1010.2	300.8	2.30604289587957	2.30741208565752	2.26842074411968				2496.69395710412	2496.69258791434	2496.73157925588	48.0275585382701
